objectId,CV_probability_RS_12,CV_probability_RS_24,CV_probability_RS_32,CV_probability_RS_42,CV_probability_RS_58,CV_probability_RS_12_1,finkclass,number_of_files,common_in_files
ZTF18actauvk,0.9820571,0.9779508,0.99547595,0.9827368,0.93276495,0.9951946,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
ZTF18aabopru,0.98167634,0.9863349,0.92879254,0.97415984,0.99113935,0.99624085,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
ZTF18acrvact,0.9779283,0.9840555,0.9995173,0.98475593,0.9826565,0.9953755,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
ZTF18acqxpid,0.99392635,0.98967755,0.9394604,0.98516685,0.9986547,0.99896085,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
ZTF18acpszwx,0.9774359,0.9901544,0.994055,0.9949071,0.9968225,0.9985875,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
ZTF19aadunlb,0.99228317,0.94883454,0.9990299,0.94613725,0.9941339,0.994915,Unknown,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
ZTF19aacsgha,0.99566686,0.97567993,0.9835232,0.99459547,0.99103534,0.9982029,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
ZTF18abpumun,0.9894679,0.93869734,0.98172814,0.9755609,0.98504204,0.99613094,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
ZTF17aaavfwx,0.9981968,0.99701214,0.99766386,0.9828667,0.99687177,0.99893075,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
ZTF17aaaizeq,0.9943486,0.9888974,0.9974088,0.96279734,0.98626745,0.99821717,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
ZTF17aaaizfe,0.9968099,0.9844826,0.9851659,0.99845386,0.9956162,0.99870217,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
ZTF21abcnrfv,0.98678267,0.98638564,0.98954517,0.92048275,0.9853158,0.983402,Unknown,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
